,course,Credits,Instructor,Department,course_name,description,vec_str
10034,SOC 362,3,N J Chagnon,Sociology (SOC),Sociology of Gender ,"Effect of sex and gender roles (both traditional and nontraditional) on attitudes and behavior within the family and educational, economic, and governmental systems. Recommended: at least one WGSS course. Pre: 100 or any 200-level SOC course, WGSS 151 or any 200- or 300-level WGSS course; or consent. (Cross-listed as WGSS 362)","Sociology of Gender  Effect of sex and gender roles (both traditional and nontraditional) on attitudes and behavior within the family and educational, economic, and governmental systems. Recommended: at least one WGSS course. Pre: 100 or any 200-level SOC course, WGSS 151 or any 200- or 300-level WGSS course; or consent. (Cross-listed as WGSS 362) Sociology (SOC)"
10036,SOC 400,3,A Kimura,Sociology (SOC),"Food, Body, and Women: Analysis of Biopolitics ","Explores how food, body, and other “matter of life” are imbedded in biopolitics from the feminist perspectives. A-F only. Pre: WGSS 300, or one 300-level WGSS or ES course, or consent. (Spring only). (Cross-listed as WGSS 400)","Food, Body, and Women: Analysis of Biopolitics  Explores how food, body, and other “matter of life” are imbedded in biopolitics from the feminist perspectives. A-F only. Pre: WGSS 300, or one 300-level WGSS or ES course, or consent. (Spring only). (Cross-listed as WGSS 400) Sociology (SOC)"
10038,SOC 446,3,N J Chagnon,Sociology (SOC),Gender Violence Over the Lifecycle ,"Examines the problem of violence, particularly sexual violence, over the life cycle. Offers gendered perspective in activities aimed at prevention and treatment of violence, and cross cultural perspectives. Pre: 300, WGSS 151 or any 200- or 300-level WGSS course; or consent. (Cross-listed as WGSS 446)","Gender Violence Over the Lifecycle  Examines the problem of violence, particularly sexual violence, over the life cycle. Offers gendered perspective in activities aimed at prevention and treatment of violence, and cross cultural perspectives. Pre: 300, WGSS 151 or any 200- or 300-level WGSS course; or consent. (Cross-listed as WGSS 446) Sociology (SOC)"
10040,SOC 456,3,J R Darrah,Sociology (SOC),Racism and Ethnicity in Hawai‘i ,"The historical and contemporary social processes involved in inter-ethnic relations in Hawai‘i. Pre: 300 or one ES 300 level course, or consent. (Cross-listed as ES 456)","Racism and Ethnicity in Hawai‘i  The historical and contemporary social processes involved in inter-ethnic relations in Hawai‘i. Pre: 300 or one ES 300 level course, or consent. (Cross-listed as ES 456) Sociology (SOC)"
10042,SOC 459,3,S Chai,Sociology (SOC),Popular Culture ,"Popular culture as manifested in film, sports, TV, comics, magazines, etc.; relation to sociological theories and studies.","Popular Culture  Popular culture as manifested in film, sports, TV, comics, magazines, etc.; relation to sociological theories and studies. Sociology (SOC)"
10044,SOC 476,3,W Zhang,Sociology (SOC),Social Statistics ,"Common statistical procedures emphasizing univariate and bivariate description; some attention to multivariate techniques and statistical inference, within context of research procedures. Pre: 300 or consent. Co-requisite: 476L.","Social Statistics  Common statistical procedures emphasizing univariate and bivariate description; some attention to multivariate techniques and statistical inference, within context of research procedures. Pre: 300 or consent. Co-requisite: 476L. Sociology (SOC)"
10046,SOC 476L,1,W Zhang,Sociology (SOC),Social Statistics Laboratory ,Required lab for computer applications for analysis of sociological data. CR/NC only. Co-requisite: 476.,Social Statistics Laboratory  Required lab for computer applications for analysis of sociological data. CR/NC only. Co-requisite: 476. Sociology (SOC)
10048,SOC 478,3,A Kimura,Sociology (SOC),Analysis in Field Research Methods ,Techniques for collecting and analyzing qualitative data. Participant observation; small groups in natural settings; community studies. Grounded theory; theories of everyday life; reality construction.,Analysis in Field Research Methods  Techniques for collecting and analyzing qualitative data. Participant observation; small groups in natural settings; community studies. Grounded theory; theories of everyday life; reality construction. Sociology (SOC)
10050,SOC 491,6,K N Mossakowski,Sociology (SOC),Discussion Group Leader–Freshman Seminar ,Students lead a freshman seminar section of sociology and meet weekly with instructor for substantive background.,Discussion Group Leader–Freshman Seminar  Students lead a freshman seminar section of sociology and meet weekly with instructor for substantive background. Sociology (SOC)
10052,SOC 494,3-6,C Petranek,Sociology (SOC),Social Sciences Internship ,"Internship in public, private, or non-profit organizations providing opportunity for practical experience and application of social sciences concepts and theories. Three to six credits per semester; repeatable two times, up to 12 credits. Consent of instructor. (Cross-listed as SOCS 489 and WGSS 489)","Social Sciences Internship  Internship in public, private, or non-profit organizations providing opportunity for practical experience and application of social sciences concepts and theories. Three to six credits per semester; repeatable two times, up to 12 credits. Consent of instructor. (Cross-listed as SOCS 489 and WGSS 489) Sociology (SOC)"
10054,SOC 605,3,W Zhang,Sociology (SOC),Statistics for Regression Analysis ,"Dealing with the multiple linear regression and logistic regression models, focusing on modeling, i.e., specification of the explanatory variables to answer different research questions. Emphasis on applications using statistical package programs. SOC 605L is required.","Statistics for Regression Analysis  Dealing with the multiple linear regression and logistic regression models, focusing on modeling, i.e., specification of the explanatory variables to answer different research questions. Emphasis on applications using statistical package programs. SOC 605L is required. Sociology (SOC)"
